prix_million_Ar,superficie_m2,nb_chambres,nb_etages,localisation,acces_route,eau_electricite,type_connexion,parking,type_sol,etat_maison,annee_construction
228,169.0,4,2,periurbain,True,True,aucune,True,carrelage,bon,2020
90,175.0,2,1,rural,False,False,aucune,True,ciment,a_renover,2002
132,77.0,4,1,periurbain,True,True,fibre,True,carrelage,bon,2004
679,233.0,4,1,urbain,False,False,starlink,True,ciment,neuf,1997
83,136.0,4,1,rural,False,False,fibre,False,brut,a_renover,1997
222,163.0,4,2,periurbain,True,False,aucune,False,ciment,bon,2000
638,241.0,2,2,urbain,True,True,fibre,True,carrelage,neuf,2004
86,64.0,1,2,urbain,False,False,aucune,True,brut,a_renover,2009
101,72.0,2,1,periurbain,True,True,starlink,False,carrelage,bon,2011
45,50.0,4,2,rural,True,False,starlink,False,carrelage,a_renover,2018
315,152.0,4,2,periurbain,True,True,starlink,True,ciment,neuf,1996
83,74.0,1,1,rural,True,False,aucune,True,ciment,neuf,2005
166,123.0,4,2,rural,False,True,starlink,False,brut,neuf,2001
128,64.0,4,2,urbain,True,False,fibre,False,brut,a_renover,2005
147,190.0,1,2,periurbain,True,True,aucune,True,brut,a_renover,2007
82,91.0,3,2,rural,True,True,fibre,False,brut,bon,2023
648,245.0,2,2,urbain,True,True,starlink,True,brut,neuf,1991
152,146.0,5,2,periurbain,True,False,starlink,False,ciment,a_renover,2013
81,77.0,4,2,rural,False,False,aucune,False,ciment,bon,1997
110,58.0,1,1,periurbain,False,True,aucune,True,carrelage,neuf,2014
441,220.0,5,2,periurbain,False,True,fibre,True,ciment,neuf,2020
95,187.0,2,1,rural,True,True,aucune,False,ciment,a_renover,2000
310,214.0,5,1,urbain,False,False,fibre,True,carrelage,a_renover,2009
206,82.0,4,2,periurbain,False,True,aucune,False,carrelage,neuf,2004
66,66.0,2,1,periurbain,True,False,aucune,False,brut,a_renover,2023
309,168.0,2,2,urbain,False,True,starlink,True,ciment,bon,1999
134,172.0,1,2,periurbain,False,True,starlink,True,carrelage,a_renover,1995
185,103.0,5,2,urbain,True,True,starlink,True,carrelage,a_renover,2022
166,216.0,1,2,periurbain,False,True,aucune,True,brut,a_renover,1991
159,156.0,5,1,periurbain,False,True,fibre,True,ciment,a_renover,1999
162,197.0,2,2,periurbain,False,False,starlink,True,ciment,a_renover,2008
361,138.0,1,1,urbain,True,False,starlink,False,ciment,neuf,2023
237,222.0,2,1,rural,True,True,fibre,True,brut,neuf,2014
410,200.0,5,1,periurbain,True,True,fibre,True,brut,neuf,1990
410,206.0,4,1,urbain,True,True,fibre,True,brut,bon,2002
135,91.0,4,1,rural,True,True,fibre,True,carrelage,neuf,2014
291,247.0,1,1,urbain,False,True,starlink,False,ciment,a_renover,2001
374,227.0,1,1,periurbain,False,True,fibre,False,brut,neuf,1992
179,233.0,1,2,periurbain,False,True,starlink,True,carrelage,a_renover,2016
49,52.0,2,1,rural,True,False,aucune,False,brut,bon,2003
198,99.0,2,2,urbain,True,False,aucune,True,brut,bon,2001
143,86.0,5,2,rural,True,True,fibre,False,carrelage,neuf,2009
153,112.0,2,2,urbain,True,True,starlink,False,ciment,a_renover,2012
127,149.0,4,1,rural,True,False,aucune,True,carrelage,bon,2017
100,50.0,1,1,urbain,False,False,starlink,True,brut,bon,2016
79,126.0,4,1,rural,False,True,starlink,True,brut,a_renover,1998
100,50.0,1,1,urbain,False,False,aucune,False,brut,bon,2020
402,220.0,3,2,periurbain,False,True,aucune,True,carrelage,neuf,2011
58,67.0,1,1,periurbain,False,True,starlink,False,carrelage,a_renover,2016
119,204.0,5,2,rural,True,False,starlink,False,carrelage,a_renover,2007
204,146.0,4,2,periurbain,False,False,aucune,False,ciment,bon,1995
326,86.0,4,1,urbain,False,True,fibre,True,brut,neuf,2003
99,76.0,1,1,urbain,True,False,aucune,True,brut,a_renover,2015
378,145.0,1,1,urbain,True,True,aucune,False,brut,neuf,2015
315,231.0,4,1,urbain,True,False,fibre,True,brut,a_renover,2018
86,58.0,2,1,periurbain,False,True,fibre,False,brut,bon,2021
166,166.0,5,1,periurbain,False,False,aucune,False,carrelage,a_renover,2004
472,134.0,5,1,urbain,True,True,fibre,True,ciment,neuf,2010
147,128.0,2,1,rural,False,True,fibre,True,carrelage,neuf,1999
370,200.0,3,2,periurbain,False,False,starlink,False,ciment,neuf,1999
130,240.0,4,2,rural,True,False,aucune,False,brut,a_renover,2014
41,52.0,1,2,rural,False,False,aucune,True,brut,bon,2003
74,128.0,3,2,rural,False,True,starlink,False,ciment,a_renover,1998
469,243.0,4,2,urbain,False,False,starlink,False,brut,bon,2018
153,197.0,1,2,periurbain,True,True,starlink,False,ciment,a_renover,1995
225,103.0,3,1,urbain,True,False,starlink,False,carrelage,bon,1992
226,210.0,2,1,rural,True,True,aucune,False,brut,neuf,1992
106,199.0,3,1,rural,False,False,fibre,False,brut,a_renover,2008
106,224.0,1,1,rural,True,True,fibre,False,brut,a_renover,2020
93,84.0,1,2,rural,False,False,aucune,True,ciment,neuf,2023
113,164.0,1,2,rural,False,False,fibre,False,brut,bon,2020
78,150.0,2,2,rural,False,False,fibre,False,carrelage,a_renover,2019
123,52.0,2,2,urbain,True,False,fibre,False,ciment,bon,2020
148,120.0,1,1,urbain,False,False,aucune,False,brut,a_renover,1999
131,142.0,5,1,rural,True,False,starlink,True,brut,bon,2016
163,145.0,2,2,rural,False,True,aucune,True,brut,neuf,1999
416,235.0,2,2,urbain,False,True,starlink,True,brut,bon,2017
584,231.0,1,2,urbain,True,False,aucune,True,ciment,neuf,2008
235,185.0,2,1,urbain,False,True,aucune,False,ciment,a_renover,2017
177,101.0,1,2,periurbain,False,False,starlink,True,carrelage,neuf,2000
219,191.0,3,2,rural,False,True,aucune,True,brut,neuf,2005
273,206.0,3,1,urbain,True,False,aucune,False,brut,a_renover,1990
337,173.0,3,2,urbain,False,True,fibre,True,carrelage,bon,1994
430,244.0,2,1,urbain,False,False,starlink,False,ciment,bon,1993
238,90.0,5,2,periurbain,False,True,starlink,False,ciment,neuf,2011
254,207.0,3,2,periurbain,False,False,aucune,True,ciment,bon,2002
143,134.0,5,2,periurbain,True,True,aucune,True,carrelage,a_renover,2012
156,181.0,5,2,rural,False,True,fibre,False,brut,bon,2020
50,73.0,3,2,rural,False,False,fibre,False,ciment,a_renover,2021
163,120.0,4,2,rural,False,False,starlink,False,carrelage,neuf,1996
215,122.0,1,2,urbain,True,False,starlink,False,carrelage,bon,2013
587,232.0,1,1,urbain,True,True,starlink,True,brut,neuf,1995
228,191.0,1,2,urbain,False,False,starlink,False,carrelage,a_renover,1991
61,99.0,3,1,rural,False,True,fibre,False,ciment,a_renover,2015
110,183.0,5,1,rural,True,True,starlink,True,brut,a_renover,2017
108,66.0,3,2,periurbain,True,True,aucune,False,ciment,bon,1994
108,55.0,1,1,urbain,True,True,aucune,True,ciment,bon,1994
179,161.0,2,2,rural,True,False,fibre,True,brut,neuf,2013
467,157.0,3,1,urbain,True,True,fibre,True,carrelage,neuf,2005
336,153.0,5,2,periurbain,True,True,fibre,False,ciment,neuf,2004
97,167.0,4,2,rural,False,True,aucune,False,brut,a_renover,2007
246,182.0,3,2,urbain,True,True,starlink,True,brut,a_renover,2021
259,237.0,1,2,periurbain,True,True,fibre,True,ciment,bon,2018
102,177.0,4,1,rural,False,False,fibre,True,brut,a_renover,2008
82,54.0,2,2,periurbain,False,True,starlink,False,carrelage,bon,2005
225,166.0,4,2,periurbain,True,True,fibre,False,carrelage,bon,1994
195,191.0,1,1,rural,False,True,starlink,True,carrelage,neuf,1992
222,80.0,5,2,periurbain,True,True,fibre,True,brut,neuf,2010
82,120.0,5,1,rural,True,True,starlink,True,carrelage,a_renover,2021
80,140.0,3,1,rural,True,True,starlink,True,carrelage,a_renover,2002
172,103.0,5,1,periurbain,False,False,fibre,True,carrelage,bon,2023
183,138.0,2,1,urbain,False,True,aucune,False,ciment,a_renover,2006
106,153.0,1,2,rural,True,False,aucune,False,carrelage,bon,1999
269,228.0,1,1,urbain,False,True,fibre,False,carrelage,a_renover,2017
84,66.0,4,1,periurbain,False,True,aucune,False,brut,a_renover,2019
95,86.0,5,1,rural,False,False,starlink,False,brut,bon,2003
273,200.0,5,2,periurbain,True,False,fibre,False,carrelage,bon,2003
217,123.0,1,1,urbain,False,True,starlink,False,ciment,bon,2019
157,53.0,1,1,urbain,False,True,fibre,False,brut,neuf,2022
54,70.0,4,1,rural,True,True,fibre,True,carrelage,a_renover,1998
380,225.0,1,1,urbain,True,False,starlink,True,carrelage,bon,1999
168,163.0,1,1,rural,False,False,fibre,False,brut,neuf,2009
291,241.0,5,1,rural,True,False,fibre,False,ciment,neuf,2022
209,137.0,4,2,urbain,False,True,starlink,False,ciment,a_renover,2010
157,166.0,4,1,periurbain,False,False,fibre,True,ciment,a_renover,1995
56,75.0,4,1,rural,False,True,fibre,False,ciment,a_renover,2010
176,132.0,3,1,periurbain,False,True,starlink,True,carrelage,bon,2004
443,227.0,4,1,urbain,False,True,starlink,False,brut,bon,2023
255,220.0,2,1,periurbain,False,False,fibre,False,brut,bon,2013
203,102.0,2,1,urbain,True,True,fibre,True,carrelage,bon,2001
358,174.0,4,1,urbain,False,False,fibre,True,carrelage,bon,1990
274,248.0,3,2,rural,False,False,aucune,True,brut,neuf,2021
135,148.0,5,1,rural,True,False,starlink,False,carrelage,bon,2005
218,237.0,5,1,periurbain,False,True,fibre,False,brut,a_renover,1998
168,181.0,4,2,periurbain,True,True,fibre,True,carrelage,a_renover,1996
80,128.0,4,1,rural,True,False,aucune,False,carrelage,a_renover,2018
55,73.0,4,2,rural,True,True,starlink,True,ciment,a_renover,2004
88,84.0,3,2,periurbain,False,True,aucune,False,carrelage,a_renover,2014
64,92.0,4,2,rural,True,False,aucune,False,ciment,a_renover,2005
337,128.0,1,2,urbain,True,True,starlink,False,carrelage,neuf,2003
126,75.0,3,2,urbain,False,True,fibre,True,ciment,a_renover,1991
195,231.0,3,2,periurbain,False,False,fibre,True,brut,a_renover,2013
432,220.0,4,2,urbain,False,False,aucune,False,brut,bon,2023
43,83.0,1,1,rural,True,False,starlink,True,brut,a_renover,2020
249,247.0,1,2,rural,False,False,fibre,False,ciment,neuf,1993
135,103.0,3,1,rural,True,True,starlink,False,carrelage,neuf,1991
266,86.0,2,2,urbain,True,True,fibre,True,carrelage,neuf,2018
218,182.0,1,2,urbain,False,False,starlink,False,carrelage,a_renover,1998
49,59.0,4,1,rural,True,True,starlink,True,brut,a_renover,1999
600,200.0,4,1,urbain,False,True,fibre,True,ciment,neuf,2006
177,134.0,4,1,rural,False,True,starlink,True,ciment,neuf,2020
142,145.0,4,2,periurbain,False,False,aucune,True,brut,a_renover,2005
48,53.0,1,1,periurbain,True,False,fibre,False,carrelage,a_renover,1990
366,191.0,3,1,urbain,False,False,starlink,True,ciment,bon,1990
147,217.0,1,1,rural,True,False,fibre,False,ciment,bon,2022
115,142.0,3,1,rural,False,True,starlink,False,ciment,bon,2002
113,228.0,2,1,rural,True,True,aucune,False,brut,a_renover,2018
137,107.0,2,1,periurbain,False,True,aucune,True,ciment,bon,2006
71,72.0,2,2,periurbain,True,True,starlink,False,ciment,a_renover,1995
126,123.0,4,1,periurbain,False,True,fibre,False,carrelage,a_renover,1995
100,132.0,2,1,rural,False,True,aucune,True,carrelage,bon,2011
49,85.0,2,2,rural,False,True,starlink,True,ciment,a_renover,2011
215,88.0,4,2,periurbain,True,False,starlink,False,carrelage,neuf,2003
111,197.0,4,1,rural,False,False,fibre,True,brut,a_renover,2014
182,101.0,1,1,urbain,True,True,aucune,False,ciment,bon,2007
139,107.0,3,2,rural,False,True,aucune,False,brut,neuf,2020
402,233.0,2,1,periurbain,True,True,fibre,False,brut,neuf,2022
151,95.0,4,1,periurbain,True,False,starlink,False,carrelage,bon,2014
221,104.0,3,2,periurbain,False,False,starlink,True,carrelage,neuf,2002
182,150.0,1,2,urbain,True,True,aucune,True,ciment,a_renover,1996
86,106.0,1,2,periurbain,False,False,aucune,True,carrelage,a_renover,2003
134,104.0,2,2,periurbain,True,True,fibre,False,carrelage,bon,2007
327,192.0,1,2,urbain,False,False,aucune,True,brut,bon,1991
111,140.0,1,2,periurbain,True,True,fibre,False,brut,a_renover,1997
261,113.0,4,2,urbain,False,False,fibre,False,brut,bon,2018
614,206.0,4,2,urbain,True,True,aucune,True,carrelage,neuf,2013
273,200.0,5,2,periurbain,True,False,starlink,True,ciment,bon,2005
514,164.0,4,2,urbain,False,False,aucune,True,brut,neuf,2000
193,68.0,1,2,urbain,False,True,starlink,True,carrelage,neuf,2008
162,216.0,3,2,rural,False,False,starlink,False,brut,bon,2018
196,138.0,4,2,periurbain,False,False,fibre,False,ciment,bon,1999
240,202.0,1,2,urbain,False,True,starlink,True,brut,a_renover,2013
251,92.0,1,1,urbain,True,True,aucune,True,ciment,neuf,2019
319,192.0,1,2,periurbain,True,True,aucune,False,ciment,neuf,2019
208,121.0,1,1,periurbain,True,True,fibre,False,carrelage,neuf,1996
166,91.0,1,2,urbain,False,True,aucune,True,brut,bon,2005
221,241.0,5,2,periurbain,False,True,starlink,True,brut,a_renover,2010
86,52.0,3,1,rural,True,False,fibre,True,brut,neuf,1991
157,126.0,2,2,periurbain,True,False,aucune,True,ciment,bon,2021
51,57.0,1,1,periurbain,True,True,aucune,False,ciment,a_renover,2009
286,243.0,1,1,urbain,True,True,aucune,True,carrelage,a_renover,1998
131,63.0,5,2,periurbain,True,False,starlink,True,ciment,bon,2010
119,229.0,3,1,rural,False,True,fibre,True,ciment,a_renover,2017
131,192.0,1,1,rural,True,True,fibre,True,ciment,bon,2005
