id,prix,superficie_m2,nb_chambres,nb_etages,localisation,acces_route,eau_electricite,type_connexion,parking,type_sol,etat_maison,annee_construction
2514.0,,130.0,2.0,1.0,rural,non,Yes,starlink,oui,ciment,neuf,2003.0
2908.0,297.0,215.0,4.0,1.0,urbain,non,oui,fibre,0,ciment,,1998.0
5938.0,101.0,72.0,2.0,1.0,periurbain,1,Yes,fibre,non,ciment,bon,2009.0
5015.0,87.0,,2.0,1.0,periurbain,oui,oui,starlink,oui,ciment,bon,2016.0
9595.0,194.0,140.0,5.0,2.0,rural,1,0,fibre,,carrelage,neuf,2009.0
8769.0,335.0,,1.0,2.0,periurbain,non,0,starlink,No,carrelage,neuf,1993.0
4786.0,439.0,244.0,3.0,1.0,periurbain,oui,No,aucune,Yes,ciment,neuf,2005.0
2602.0,301.0,227.0,5.0,2.0,periurbain,Yes,oui,fibre,Yes,brut,bon,2006.0
7779.0,90.0,128.0,1.0,1.0,rural,0,No,aucune,0,ciment,bon,1991.0
2826.0,143.0,172.0,2.0,2.0,periurbain,non,No,fibre,non,brut,a_renover,1990.0
1118.0,392.0,220.0,2.0,2.0,urbain,0,1,fibre,0,ciment,bon,2020.0
3485.0,147.0,119.0,,2.0,urbain,oui,1,starlink,oui,ciment,a_renover,2012.0
2980.0,,205.0,3.0,2.0,urbain,No,0,aucune,1,ciment,neuf,2004.0
8654.0,307.0,103.0,2.0,2.0,urbain,Yes,1,aucune,Yes,carrelage,neuf,2006.0
7719.0,212.0,141.0,5.0,1.0,periurbain,0,No,fibre,1,ciment,bon,1992.0
6575.0,273.0,181.0,5.0,2.0,urbain,No,No,fibre,non,brut,a_renover,1991.0
,219.0,158.0,3.0,1.0,urbain,0,oui,starlink,0,carrelage,a_renover,2012.0
7234.0,424.0,114.0,5.0,2.0,urbain,No,1,starlink,1,brut,neuf,2018.0
8366.0,207.0,70.0,5.0,1.0,periurbain,0,No,fibre,0,carrelage,neuf,1995.0
3948.0,110.0,93.0,1.0,2.0,periurbain,oui,non,fibre,No,carrelage,bon,2013.0
,255.0,,4.0,1.0,urbain,No,,starlink,0,brut,a_renover,2008.0
8753.0,187.0,219.0,3.0,1.0,periurbain,1,0,aucune,,brut,,1995.0
8111.0,95.0,136.0,1.0,1.0,rural,oui,,aucune,1,carrelage,bon,2011.0
2820.0,115.0,86.0,2.0,1.0,periurbain,non,No,aucune,No,brut,bon,1990.0
5337.0,,181.0,2.0,2.0,rural,No,1,aucune,1,ciment,bon,1998.0
5369.0,104.0,96.0,1.0,1.0,,1,,aucune,non,carrelage,neuf,2005.0
4184.0,338.0,161.0,4.0,2.0,urbain,non,Yes,starlink,oui,carrelage,bon,1999.0
9403.0,249.0,214.0,2.0,2.0,periurbain,Yes,1,starlink,Yes,ciment,bon,2001.0
9625.0,109.0,85.0,1.0,1.0,urbain,oui,oui,starlink,oui,carrelage,a_renover,2021.0
303.0,95.0,,1.0,2.0,periurbain,oui,non,aucune,Yes,ciment,bon,2022.0
33.0,131.0,242.0,4.0,1.0,rural,1,non,fibre,0,carrelage,a_renover,2023.0
3274.0,72.0,,1.0,2.0,rural,oui,Yes,aucune,non,brut,neuf,2008.0
1941.0,119.0,229.0,3.0,1.0,rural,oui,Yes,,0,ciment,a_renover,2014.0
9116.0,346.0,94.0,4.0,,urbain,0,oui,aucune,oui,carrelage,neuf,2021.0
9283.0,110.0,122.0,4.0,2.0,,non,non,aucune,oui,ciment,bon,2013.0
3522.0,350.0,187.0,3.0,1.0,periurbain,oui,0,aucune,No,ciment,neuf,2012.0
4836.0,588.0,195.0,4.0,2.0,urbain,1,non,starlink,oui,ciment,neuf,2020.0
,98.0,169.0,4.0,1.0,,1,Yes,starlink,0,ciment,a_renover,2011.0
251.0,161.0,239.0,1.0,1.0,rural,No,oui,starlink,,carrelage,bon,2023.0
9071.0,155.0,,3.0,2.0,periurbain,Yes,No,aucune,oui,carrelage,bon,2014.0
6899.0,269.0,230.0,4.0,2.0,rural,non,No,aucune,1,carrelage,neuf,1993.0
9733.0,518.0,166.0,4.0,2.0,urbain,0,non,aucune,non,ciment,neuf,1993.0
9440.0,,119.0,5.0,2.0,urbain,non,oui,aucune,non,ciment,bon,2012.0
,68.0,53.0,1.0,2.0,periurbain,No,No,aucune,non,brut,bon,2012.0
2954.0,198.0,181.0,2.0,1.0,rural,oui,Yes,starlink,Yes,carrelage,neuf,2019.0
1839.0,,208.0,4.0,1.0,periurbain,1,1,aucune,Yes,ciment,neuf,1991.0
5865.0,95.0,86.0,5.0,1.0,rural,No,0,starlink,0,ciment,bon,2000.0
8500.0,102.0,122.0,,,rural,oui,Yes,starlink,1,ciment,bon,2004.0
9559.0,429.0,225.0,4.0,1.0,periurbain,0,0,aucune,No,brut,neuf,2004.0
,158.0,51.0,4.0,1.0,periurbain,No,oui,starlink,1,carrelage,neuf,2014.0
1145.0,125.0,183.0,1.0,2.0,rural,oui,oui,fibre,oui,,bon,1993.0
5567.0,291.0,197.0,5.0,2.0,urbain,0,1,aucune,0,carrelage,a_renover,2014.0
,150.0,184.0,4.0,2.0,rural,0,0,fibre,Yes,brut,bon,
8443.0,406.0,204.0,4.0,,urbain,non,oui,fibre,non,ciment,bon,2005.0
9783.0,265.0,187.0,4.0,2.0,urbain,No,1,aucune,non,brut,a_renover,2015.0
9956.0,153.0,58.0,3.0,,urbain,oui,0,aucune,0,carrelage,,1991.0
4031.0,378.0,145.0,1.0,1.0,,non,oui,aucune,0,,neuf,2007.0
3204.0,65.0,52.0,3.0,2.0,periurbain,1,oui,starlink,1,ciment,a_renover,1999.0
6814.0,148.0,218.0,1.0,1.0,rural,1,1,,No,carrelage,bon,1995.0
4553.0,212.0,177.0,1.0,1.0,urbain,non,non,fibre,non,ciment,a_renover,2009.0
6377.0,208.0,179.0,,2.0,,Yes,Yes,,,carrelage,neuf,2003.0
5572.0,260.0,182.0,4.0,1.0,urbain,No,non,fibre,0,carrelage,a_renover,2019.0
1178.0,134.0,116.0,1.0,2.0,periurbain,No,No,fibre,Yes,ciment,bon,2008.0
5032.0,192.0,121.0,4.0,2.0,urbain,1,0,starlink,non,brut,a_renover,2023.0
1793.0,171.0,103.0,4.0,1.0,urbain,non,,aucune,,brut,a_renover,2009.0
4453.0,50.0,50.0,5.0,2.0,rural,oui,non,,Yes,carrelage,a_renover,1990.0
4829.0,46.0,90.0,1.0,2.0,rural,1,No,starlink,oui,brut,a_renover,2006.0
673.0,348.0,95.0,4.0,2.0,urbain,1,oui,fibre,0,carrelage,,1993.0
2724.0,319.0,,3.0,1.0,urbain,No,1,,No,brut,a_renover,1990.0
5422.0,140.0,121.0,2.0,2.0,rural,oui,oui,aucune,oui,ciment,neuf,2020.0
8574.0,391.0,113.0,4.0,2.0,urbain,Yes,Yes,aucune,No,ciment,neuf,2020.0
4436.0,541.0,163.0,5.0,2.0,urbain,Yes,Yes,aucune,oui,,neuf,1998.0
7709.0,137.0,176.0,1.0,2.0,periurbain,non,1,,No,carrelage,a_renover,2002.0
7074.0,,163.0,3.0,1.0,rural,0,No,aucune,1,ciment,neuf,
2221.0,182.0,89.0,2.0,1.0,urbain,,1,fibre,0,brut,bon,2001.0
6273.0,134.0,122.0,5.0,2.0,periurbain,,oui,starlink,1,brut,a_renover,2003.0
8492.0,87.0,59.0,2.0,2.0,periurbain,No,Yes,aucune,1,ciment,bon,2023.0
6302.0,56.0,76.0,4.0,1.0,rural,non,Yes,starlink,1,brut,a_renover,2004.0
4889.0,144.0,125.0,2.0,1.0,rural,Yes,oui,starlink,No,ciment,neuf,2022.0
1623.0,,129.0,1.0,1.0,periurbain,non,1,starlink,,carrelage,bon,2011.0
8446.0,219.0,239.0,5.0,1.0,periurbain,1,non,fibre,non,,a_renover,2008.0
,364.0,114.0,3.0,1.0,urbain,0,oui,aucune,non,brut,neuf,2016.0
5261.0,110.0,109.0,5.0,1.0,rural,oui,0,aucune,1,carrelage,bon,2015.0
1617.0,367.0,128.0,2.0,1.0,urbain,No,0,aucune,oui,brut,neuf,2009.0
2492.0,113.0,80.0,3.0,2.0,rural,No,Yes,fibre,Yes,brut,neuf,2018.0
8330.0,576.0,215.0,2.0,2.0,urbain,,No,aucune,Yes,ciment,neuf,1998.0
,364.0,221.0,1.0,1.0,periurbain,1,No,aucune,No,carrelage,neuf,1998.0
1501.0,600.0,225.0,2.0,2.0,urbain,non,non,starlink,0,ciment,neuf,2011.0
7864.0,286.0,243.0,1.0,1.0,urbain,oui,non,starlink,oui,brut,a_renover,
6165.0,174.0,156.0,2.0,1.0,rural,,0,fibre,Yes,brut,neuf,2000.0
2018.0,267.0,241.0,3.0,2.0,rural,Yes,Yes,aucune,1,ciment,neuf,2005.0
8446.0,219.0,239.0,5.0,1.0,periurbain,1,non,fibre,non,,a_renover,2008.0
1056.0,115.0,65.0,3.0,1.0,urbain,Yes,No,starlink,non,brut,a_renover,2018.0
4610.0,319.0,162.0,3.0,1.0,urbain,0,non,fibre,oui,carrelage,bon,2007.0
5218.0,160.0,91.0,5.0,2.0,periurbain,0,non,,0,ciment,bon,1991.0
1142.0,203.0,133.0,5.0,2.0,periurbain,Yes,oui,fibre,No,ciment,bon,2013.0
318.0,114.0,97.0,1.0,1.0,periurbain,No,1,fibre,1,brut,bon,2001.0
3651.0,330.0,199.0,1.0,1.0,periurbain,0,1,starlink,No,carrelage,neuf,1993.0
9693.0,78.0,150.0,2.0,1.0,rural,Yes,Yes,fibre,1,ciment,a_renover,
6011.0,575.0,177.0,5.0,1.0,urbain,No,Yes,fibre,No,brut,neuf,2004.0
7219.0,180.0,161.0,1.0,1.0,,oui,non,fibre,oui,carrelage,bon,2000.0
3421.0,263.0,,1.0,2.0,periurbain,non,1,starlink,Yes,brut,bon,1994.0
,342.0,80.0,5.0,2.0,urbain,No,non,starlink,non,ciment,neuf,2004.0
2955.0,218.0,215.0,1.0,1.0,rural,Yes,0,aucune,oui,brut,neuf,2010.0
6684.0,120.0,112.0,1.0,1.0,rural,1,0,fibre,non,carrelage,neuf,2002.0
6948.0,220.0,174.0,3.0,1.0,periurbain,non,non,starlink,No,ciment,bon,2018.0
1454.0,367.0,185.0,4.0,2.0,periurbain,1,No,starlink,Yes,ciment,neuf,1998.0
2959.0,,,4.0,1.0,rural,oui,oui,,Yes,carrelage,,2006.0
3593.0,148.0,182.0,4.0,1.0,rural,Yes,0,fibre,1,brut,bon,2018.0
5823.0,279.0,228.0,5.0,1.0,rural,oui,non,starlink,1,carrelage,neuf,2003.0
,,176.0,2.0,2.0,rural,1,,aucune,non,,bon,2013.0
8299.0,242.0,,4.0,1.0,periurbain,oui,Yes,aucune,0,ciment,neuf,2004.0
1453.0,66.0,123.0,2.0,1.0,rural,non,0,aucune,oui,carrelage,a_renover,2006.0
1889.0,190.0,135.0,5.0,,rural,non,No,fibre,Yes,ciment,neuf,1990.0
8760.0,646.0,219.0,4.0,1.0,urbain,non,No,,,carrelage,neuf,2017.0
3777.0,277.0,239.0,4.0,1.0,rural,oui,1,fibre,non,carrelage,neuf,2006.0
8035.0,270.0,100.0,1.0,2.0,urbain,No,1,starlink,oui,carrelage,neuf,2021.0
,323.0,122.0,1.0,1.0,urbain,non,1,aucune,Yes,ciment,neuf,
5364.0,218.0,177.0,4.0,1.0,,No,oui,fibre,,ciment,neuf,2011.0
218.0,251.0,136.0,2.0,2.0,periurbain,1,1,fibre,1,carrelage,neuf,1997.0
4802.0,163.0,83.0,5.0,1.0,urbain,,,fibre,0,carrelage,a_renover,
7887.0,136.0,96.0,2.0,2.0,,No,Yes,fibre,,brut,a_renover,2005.0
3254.0,120.0,,3.0,2.0,rural,non,0,starlink,oui,brut,neuf,
1576.0,79.0,151.0,2.0,2.0,,0,0,aucune,No,ciment,a_renover,1997.0
518.0,107.0,201.0,3.0,2.0,rural,1,0,aucune,No,brut,a_renover,
554.0,103.0,192.0,3.0,2.0,rural,Yes,0,starlink,,brut,a_renover,2001.0
2592.0,196.0,113.0,,1.0,periurbain,non,0,starlink,non,brut,neuf,2020.0
2836.0,151.0,120.0,2.0,2.0,periurbain,Yes,Yes,starlink,No,ciment,bon,2007.0
1208.0,202.0,228.0,4.0,2.0,periurbain,1,Yes,aucune,1,brut,a_renover,2009.0
4685.0,49.0,84.0,2.0,2.0,rural,Yes,non,fibre,0,ciment,a_renover,2022.0
914.0,101.0,,5.0,2.0,rural,,1,aucune,oui,ciment,bon,2001.0
2249.0,389.0,137.0,2.0,1.0,urbain,1,Yes,starlink,,brut,neuf,2021.0
5325.0,337.0,166.0,4.0,1.0,periurbain,oui,non,fibre,oui,ciment,neuf,2012.0
5605.0,196.0,69.0,1.0,2.0,urbain,0,1,fibre,non,ciment,neuf,2006.0
9726.0,551.0,217.0,1.0,1.0,,0,oui,aucune,Yes,carrelage,neuf,1994.0
7895.0,191.0,200.0,5.0,2.0,periurbain,non,non,fibre,No,ciment,a_renover,2019.0
3543.0,130.0,110.0,2.0,1.0,rural,0,non,fibre,1,carrelage,neuf,2011.0
3573.0,485.0,177.0,2.0,2.0,urbain,non,1,fibre,non,ciment,neuf,2004.0
3501.0,103.0,87.0,,2.0,periurbain,non,Yes,aucune,0,carrelage,bon,1998.0
2589.0,211.0,153.0,4.0,1.0,periurbain,No,oui,aucune,Yes,brut,bon,2012.0
9478.0,148.0,130.0,1.0,2.0,periurbain,oui,0,fibre,No,brut,,2014.0
6496.0,108.0,79.0,2.0,,periurbain,oui,No,fibre,No,brut,bon,2015.0
2692.0,331.0,233.0,5.0,1.0,urbain,0,oui,aucune,0,carrelage,a_renover,2009.0
6159.0,283.0,127.0,4.0,1.0,urbain,non,non,starlink,non,carrelage,bon,2022.0
6119.0,262.0,118.0,4.0,2.0,periurbain,0,non,,oui,carrelage,neuf,2012.0
,391.0,188.0,5.0,2.0,periurbain,Yes,Yes,,oui,brut,neuf,2008.0
3706.0,153.0,227.0,1.0,1.0,rural,Yes,Yes,aucune,1,carrelage,bon,2017.0
4466.0,114.0,77.0,2.0,1.0,urbain,0,No,fibre,No,ciment,a_renover,2021.0
4602.0,99.0,,2.0,2.0,rural,0,0,fibre,oui,ciment,neuf,2022.0
9573.0,129.0,53.0,5.0,1.0,urbain,Yes,No,fibre,oui,ciment,a_renover,2009.0
304.0,125.0,217.0,5.0,1.0,rural,Yes,Yes,aucune,Yes,ciment,a_renover,2021.0
9585.0,179.0,135.0,,2.0,periurbain,0,1,fibre,Yes,ciment,bon,2018.0
856.0,176.0,107.0,4.0,2.0,urbain,0,No,aucune,0,carrelage,a_renover,2003.0
4783.0,122.0,67.0,4.0,2.0,periurbain,oui,oui,starlink,oui,brut,bon,2017.0
1688.0,235.0,172.0,3.0,1.0,urbain,,1,fibre,non,ciment,a_renover,1995.0
35.0,107.0,83.0,1.0,1.0,urbain,oui,No,starlink,oui,brut,a_renover,2007.0
7070.0,398.0,205.0,4.0,1.0,periurbain,Yes,non,aucune,1,carrelage,neuf,2006.0
,124.0,121.0,4.0,2.0,periurbain,non,non,fibre,Yes,carrelage,,2018.0
3286.0,138.0,190.0,2.0,2.0,rural,No,oui,aucune,1,,,1995.0
,155.0,87.0,,2.0,periurbain,0,1,starlink,non,carrelage,bon,2023.0
9074.0,132.0,105.0,1.0,1.0,urbain,0,1,starlink,0,ciment,,2020.0
8129.0,250.0,,2.0,1.0,periurbain,No,No,aucune,,brut,neuf,2019.0
9153.0,426.0,241.0,2.0,2.0,urbain,non,0,aucune,0,carrelage,bon,2021.0
9906.0,126.0,81.0,4.0,1.0,rural,Yes,No,aucune,Yes,brut,neuf,2003.0
9883.0,72.0,62.0,4.0,1.0,rural,0,0,starlink,oui,brut,bon,2003.0
9398.0,,210.0,1.0,1.0,,,0,starlink,1,ciment,a_renover,2023.0
6786.0,89.0,102.0,3.0,2.0,rural,,No,fibre,1,brut,bon,2005.0
5431.0,109.0,137.0,1.0,,periurbain,1,Yes,aucune,No,ciment,a_renover,2006.0
408.0,217.0,201.0,2.0,1.0,rural,non,1,fibre,non,carrelage,neuf,2020.0
6947.0,161.0,78.0,2.0,1.0,periurbain,1,,fibre,oui,ciment,neuf,2019.0
1562.0,186.0,69.0,4.0,1.0,periurbain,Yes,Yes,fibre,1,brut,neuf,2023.0
1509.0,398.0,186.0,5.0,2.0,urbain,0,No,fibre,,brut,bon,2000.0
95.0,75.0,78.0,2.0,2.0,periurbain,1,No,starlink,1,brut,a_renover,2002.0
1512.0,108.0,59.0,3.0,2.0,urbain,0,No,fibre,Yes,brut,a_renover,2011.0
2412.0,178.0,74.0,3.0,2.0,urbain,No,1,starlink,Yes,ciment,bon,1991.0
4706.0,184.0,215.0,3.0,2.0,periurbain,Yes,1,fibre,No,ciment,a_renover,2001.0
,226.0,116.0,2.0,2.0,urbain,oui,0,aucune,No,carrelage,bon,2021.0
7346.0,84.0,63.0,2.0,2.0,,non,,aucune,No,ciment,neuf,2021.0
,59.0,94.0,3.0,1.0,rural,No,Yes,,non,ciment,a_renover,1993.0
1215.0,236.0,177.0,4.0,1.0,periurbain,Yes,1,fibre,non,brut,bon,2023.0
9598.0,117.0,133.0,4.0,2.0,,Yes,Yes,aucune,oui,carrelage,bon,1994.0
4549.0,492.0,245.0,5.0,2.0,urbain,Yes,1,starlink,0,carrelage,bon,1990.0
1261.0,161.0,196.0,2.0,1.0,periurbain,1,1,aucune,,ciment,a_renover,1995.0
3880.0,233.0,230.0,1.0,2.0,rural,1,non,fibre,0,brut,neuf,2019.0
4879.0,397.0,192.0,5.0,1.0,periurbain,No,oui,,No,ciment,neuf,1990.0
5214.0,133.0,246.0,4.0,2.0,rural,0,0,fibre,,brut,a_renover,2010.0
9640.0,288.0,195.0,5.0,2.0,urbain,No,,aucune,No,ciment,a_renover,
1479.0,217.0,176.0,4.0,2.0,rural,No,non,starlink,,ciment,neuf,2019.0
6613.0,129.0,97.0,3.0,2.0,rural,oui,oui,fibre,oui,brut,neuf,2014.0
9583.0,293.0,224.0,3.0,2.0,urbain,non,,,0,ciment,a_renover,1996.0
4535.0,283.0,119.0,5.0,1.0,periurbain,No,1,starlink,0,ciment,neuf,1995.0
2109.0,575.0,202.0,3.0,1.0,urbain,1,Yes,fibre,0,carrelage,neuf,1998.0
8742.0,236.0,110.0,3.0,1.0,urbain,0,Yes,aucune,,carrelage,bon,1992.0
3997.0,279.0,154.0,2.0,2.0,periurbain,,oui,fibre,0,ciment,neuf,2019.0
214.0,84.0,150.0,3.0,2.0,rural,1,,,No,brut,a_renover,1991.0
6177.0,85.0,70.0,5.0,1.0,rural,1,Yes,aucune,oui,ciment,bon,2010.0
3999.0,139.0,74.0,4.0,1.0,urbain,0,0,,oui,carrelage,a_renover,2005.0
4665.0,86.0,179.0,1.0,1.0,rural,oui,1,fibre,oui,brut,a_renover,1992.0
,91.0,57.0,3.0,1.0,,non,No,aucune,No,ciment,,1996.0
9624.0,98.0,140.0,1.0,2.0,rural,No,non,fibre,0,brut,bon,1996.0
4411.0,135.0,161.0,4.0,1.0,rural,0,No,starlink,No,ciment,bon,1998.0
5617.0,145.0,186.0,1.0,1.0,periurbain,oui,1,aucune,0,brut,a_renover,2009.0
5875.0,67.0,54.0,4.0,2.0,rural,oui,0,aucune,No,brut,bon,1995.0
651.0,241.0,92.0,5.0,2.0,,non,1,starlink,non,ciment,neuf,1999.0
2348.0,136.0,240.0,5.0,,rural,0,non,aucune,Yes,brut,a_renover,2015.0
101.0,210.0,119.0,1.0,2.0,urbain,0,non,aucune,1,ciment,bon,2012.0
,450.0,231.0,4.0,1.0,urbain,0,Yes,starlink,0,brut,bon,2010.0
2907.0,304.0,221.0,4.0,1.0,urbain,1,No,starlink,oui,brut,a_renover,2003.0
6576.0,205.0,201.0,1.0,2.0,rural,,oui,aucune,1,carrelage,neuf,1993.0
7452.0,207.0,178.0,3.0,2.0,rural,Yes,non,aucune,Yes,carrelage,neuf,1998.0
4509.0,209.0,137.0,4.0,1.0,urbain,,0,fibre,non,carrelage,a_renover,2005.0
2516.0,89.0,186.0,1.0,,,1,oui,aucune,Yes,ciment,a_renover,1999.0
7596.0,96.0,50.0,4.0,,rural,1,Yes,starlink,oui,,neuf,2006.0
,319.0,235.0,4.0,2.0,urbain,Yes,Yes,aucune,No,carrelage,a_renover,2002.0
,163.0,242.0,1.0,2.0,rural,oui,1,fibre,0,ciment,bon,2000.0
3838.0,223.0,127.0,,2.0,urbain,1,1,aucune,0,ciment,bon,2010.0
7187.0,160.0,104.0,4.0,2.0,periurbain,,,fibre,1,ciment,bon,2008.0
2119.0,220.0,217.0,1.0,1.0,rural,0,oui,,1,brut,neuf,2017.0
7335.0,99.0,195.0,2.0,2.0,rural,non,non,aucune,Yes,carrelage,a_renover,2020.0
9422.0,151.0,,2.0,1.0,periurbain,oui,0,fibre,non,brut,neuf,2006.0
6367.0,102.0,134.0,,1.0,rural,No,No,aucune,non,ciment,bon,1993.0
1470.0,83.0,67.0,1.0,2.0,periurbain,oui,oui,aucune,No,,bon,2002.0
6742.0,366.0,90.0,5.0,2.0,urbain,1,non,starlink,No,,neuf,2012.0
9050.0,142.0,184.0,3.0,1.0,rural,Yes,oui,starlink,Yes,brut,bon,2023.0
1110.0,450.0,244.0,3.0,2.0,urbain,No,0,fibre,No,ciment,bon,2015.0
8791.0,151.0,83.0,5.0,2.0,periurbain,No,oui,fibre,1,ciment,bon,2020.0
6375.0,82.0,66.0,5.0,,rural,No,0,aucune,non,brut,bon,2013.0
3595.0,326.0,191.0,1.0,2.0,urbain,,oui,fibre,No,brut,bon,2019.0
7203.0,124.0,79.0,4.0,1.0,rural,No,0,fibre,1,carrelage,neuf,1994.0
2189.0,,51.0,4.0,2.0,urbain,No,1,starlink,No,ciment,bon,2007.0
2821.0,443.0,172.0,1.0,1.0,urbain,1,No,starlink,non,brut,neuf,2007.0
8748.0,234.0,85.0,1.0,1.0,urbain,Yes,0,aucune,0,carrelage,neuf,2021.0
8003.0,322.0,189.0,1.0,2.0,urbain,1,oui,aucune,1,carrelage,bon,2008.0
160.0,312.0,,,1.0,urbain,No,1,aucune,No,ciment,a_renover,2010.0
6661.0,104.0,170.0,,2.0,rural,Yes,0,fibre,Yes,ciment,a_renover,2009.0
2952.0,72.0,74.0,2.0,2.0,periurbain,0,non,starlink,non,brut,a_renover,2019.0
,222.0,117.0,2.0,1.0,periurbain,1,non,fibre,oui,ciment,neuf,2021.0
9756.0,87.0,59.0,2.0,1.0,periurbain,non,1,,1,carrelage,bon,2004.0
5736.0,180.0,235.0,1.0,2.0,periurbain,oui,non,aucune,No,ciment,a_renover,1999.0
4566.0,326.0,159.0,4.0,2.0,periurbain,No,oui,starlink,Yes,brut,neuf,2018.0
9754.0,373.0,118.0,3.0,2.0,urbain,oui,0,starlink,0,carrelage,neuf,2012.0
6513.0,676.0,219.0,5.0,2.0,urbain,Yes,,aucune,No,carrelage,neuf,2007.0
7809.0,346.0,94.0,4.0,1.0,urbain,1,oui,aucune,No,,neuf,2004.0
6835.0,249.0,93.0,5.0,1.0,urbain,No,Yes,aucune,,carrelage,bon,2013.0
3958.0,310.0,174.0,2.0,2.0,periurbain,1,Yes,fibre,0,brut,neuf,1993.0
3592.0,139.0,155.0,5.0,1.0,rural,non,1,fibre,No,carrelage,bon,1995.0
398.0,97.0,102.0,4.0,1.0,rural,No,No,starlink,Yes,carrelage,bon,2019.0
9051.0,108.0,192.0,4.0,1.0,rural,,0,fibre,1,ciment,a_renover,
1514.0,127.0,76.0,3.0,1.0,urbain,Yes,0,aucune,1,carrelage,a_renover,2016.0
5434.0,77.0,95.0,2.0,2.0,rural,Yes,Yes,fibre,0,ciment,bon,2003.0
,221.0,129.0,1.0,2.0,periurbain,1,non,aucune,1,brut,neuf,2010.0
1671.0,398.0,224.0,2.0,2.0,urbain,0,oui,aucune,,ciment,bon,2018.0
6008.0,335.0,77.0,5.0,2.0,urbain,Yes,1,starlink,1,brut,neuf,2009.0
5758.0,110.0,73.0,2.0,1.0,urbain,0,Yes,starlink,non,brut,a_renover,2015.0
5464.0,218.0,215.0,1.0,2.0,rural,Yes,oui,starlink,non,ciment,neuf,2005.0
3532.0,289.0,208.0,4.0,2.0,urbain,non,,starlink,oui,brut,a_renover,2017.0
8304.0,158.0,185.0,5.0,1.0,rural,non,0,starlink,Yes,ciment,bon,
360.0,358.0,,5.0,1.0,periurbain,Yes,oui,fibre,Yes,brut,neuf,
5914.0,278.0,111.0,5.0,,urbain,non,Yes,starlink,0,carrelage,bon,2012.0
