id,prix_million_ariary,superficie_m2,nb_chambres,nb_etages,localisation,acces_route,eau_electricite,type_connexion,parking,type_sol,etat_maison,annee_construction
4610,319,162.0,3,1,urbain,False,False,fibre,True,carrelage,bon,2007
1142,203,133.0,5,2,periurbain,True,True,fibre,False,ciment,bon,2013
318,114,97.0,1,1,periurbain,False,True,fibre,True,brut,bon,2001
3651,330,199.0,1,1,periurbain,False,True,starlink,False,carrelage,neuf,1993
6011,575,177.0,5,1,urbain,False,True,fibre,False,brut,neuf,2004
2955,218,215.0,1,1,rural,True,False,aucune,True,brut,neuf,2010
6684,120,112.0,1,1,rural,True,False,fibre,False,carrelage,neuf,2002
6948,220,174.0,3,1,periurbain,False,False,starlink,False,ciment,bon,2018
1454,367,185.0,4,2,periurbain,True,False,starlink,True,ciment,neuf,1998
3593,148,182.0,4,1,rural,True,False,fibre,True,brut,bon,2018
5823,279,228.0,5,1,rural,True,False,starlink,True,carrelage,neuf,2003
1453,66,123.0,2,1,rural,False,False,aucune,True,carrelage,a_renover,2006
3777,277,239.0,4,1,rural,True,True,fibre,False,carrelage,neuf,2006
8035,270,100.0,1,2,urbain,False,True,starlink,True,carrelage,neuf,2021
218,251,136.0,2,2,periurbain,True,True,fibre,True,carrelage,neuf,1997
2836,151,120.0,2,2,periurbain,True,True,starlink,False,ciment,bon,2007
1208,202,228.0,4,2,periurbain,True,True,aucune,True,brut,a_renover,2009
4685,49,84.0,2,2,rural,True,False,fibre,False,ciment,a_renover,2022
5325,337,166.0,4,1,periurbain,True,False,fibre,True,ciment,neuf,2012
5605,196,69.0,1,2,urbain,False,True,fibre,False,ciment,neuf,2006
7895,191,200.0,5,2,periurbain,False,False,fibre,False,ciment,a_renover,2019
3543,130,110.0,2,1,rural,False,False,fibre,True,carrelage,neuf,2011
3573,485,177.0,2,2,urbain,False,True,fibre,False,ciment,neuf,2004
2589,211,153.0,4,1,periurbain,False,True,aucune,True,brut,bon,2012
2692,331,233.0,5,1,urbain,False,True,aucune,False,carrelage,a_renover,2009
6159,283,127.0,4,1,urbain,False,False,starlink,False,carrelage,bon,2022
3706,153,227.0,1,1,rural,True,True,aucune,True,carrelage,bon,2017
4466,114,77.0,2,1,urbain,False,False,fibre,False,ciment,a_renover,2021
9573,129,53.0,5,1,urbain,True,False,fibre,True,ciment,a_renover,2009
304,125,217.0,5,1,rural,True,True,aucune,True,ciment,a_renover,2021
856,176,107.0,4,2,urbain,False,False,aucune,False,carrelage,a_renover,2003
4783,122,67.0,4,2,periurbain,True,True,starlink,True,brut,bon,2017
35,107,83.0,1,1,urbain,True,False,starlink,True,brut,a_renover,2007
7070,398,205.0,4,1,periurbain,True,False,aucune,True,carrelage,neuf,2006
9153,426,241.0,2,2,urbain,False,False,aucune,False,carrelage,bon,2021
9906,126,81.0,4,1,rural,True,False,aucune,True,brut,neuf,2003
9883,72,62.0,4,1,rural,False,False,starlink,True,brut,bon,2003
408,217,201.0,2,1,rural,False,True,fibre,False,carrelage,neuf,2020
1562,186,69.0,4,1,periurbain,True,True,fibre,True,brut,neuf,2023
95,75,78.0,2,2,periurbain,True,False,starlink,True,brut,a_renover,2002
1512,108,59.0,3,2,urbain,False,False,fibre,True,brut,a_renover,2011
2412,178,74.0,3,2,urbain,False,True,starlink,True,ciment,bon,1991
4706,184,215.0,3,2,periurbain,True,True,fibre,False,ciment,a_renover,2001
1215,236,177.0,4,1,periurbain,True,True,fibre,False,brut,bon,2023
4549,492,245.0,5,2,urbain,True,True,starlink,False,carrelage,bon,1990
3880,233,230.0,1,2,rural,True,False,fibre,False,brut,neuf,2019
6613,129,97.0,3,2,rural,True,True,fibre,True,brut,neuf,2014
4535,283,119.0,5,1,periurbain,False,True,starlink,False,ciment,neuf,1995
2109,575,202.0,3,1,urbain,True,True,fibre,False,carrelage,neuf,1998
6177,85,70.0,5,1,rural,True,True,aucune,True,ciment,bon,2010
4665,86,179.0,1,1,rural,True,True,fibre,True,brut,a_renover,1992
9624,98,140.0,1,2,rural,False,False,fibre,False,brut,bon,1996
4411,135,161.0,4,1,rural,False,False,starlink,False,ciment,bon,1998
5617,145,186.0,1,1,periurbain,True,True,aucune,False,brut,a_renover,2009
5875,67,54.0,4,2,rural,True,False,aucune,False,brut,bon,1995
101,210,119.0,1,2,urbain,False,False,aucune,True,ciment,bon,2012
2907,304,221.0,4,1,urbain,True,False,starlink,True,brut,a_renover,2003
7452,207,178.0,3,2,rural,True,False,aucune,True,carrelage,neuf,1998
7335,99,195.0,2,2,rural,False,False,aucune,True,carrelage,a_renover,2020
9050,142,184.0,3,1,rural,True,True,starlink,True,brut,bon,2023
1110,450,244.0,3,2,urbain,False,False,fibre,False,ciment,bon,2015
8791,151,83.0,5,2,periurbain,False,True,fibre,True,ciment,bon,2020
7203,124,79.0,4,1,rural,False,False,fibre,True,carrelage,neuf,1994
2821,443,172.0,1,1,urbain,True,False,starlink,False,brut,neuf,2007
8748,234,85.0,1,1,urbain,True,False,aucune,False,carrelage,neuf,2021
8003,322,189.0,1,2,urbain,True,True,aucune,True,carrelage,bon,2008
2952,72,74.0,2,2,periurbain,False,False,starlink,False,brut,a_renover,2019
5736,180,235.0,1,2,periurbain,True,False,aucune,False,ciment,a_renover,1999
4566,326,159.0,4,2,periurbain,False,True,starlink,True,brut,neuf,2018
9754,373,118.0,3,2,urbain,True,False,starlink,False,carrelage,neuf,2012
3958,310,174.0,2,2,periurbain,True,True,fibre,False,brut,neuf,1993
3592,139,155.0,5,1,rural,False,True,fibre,False,carrelage,bon,1995
398,97,102.0,4,1,rural,False,False,starlink,True,carrelage,bon,2019
1514,127,76.0,3,1,urbain,True,False,aucune,True,carrelage,a_renover,2016
5434,77,95.0,2,2,rural,True,True,fibre,False,ciment,bon,2003
6008,335,77.0,5,2,urbain,True,True,starlink,True,brut,neuf,2009
5758,110,73.0,2,1,urbain,False,True,starlink,False,brut,a_renover,2015
5464,218,215.0,1,2,rural,True,True,starlink,False,ciment,neuf,2005
4342,210,72.0,5,1,periurbain,False,True,aucune,False,ciment,neuf,1996
3860,439,237.0,3,1,urbain,True,True,aucune,False,ciment,bon,2017
3422,123,155.0,3,2,rural,False,False,aucune,True,ciment,bon,2005
5114,102,190.0,3,2,rural,False,False,aucune,False,ciment,a_renover,2020
5998,436,119.0,5,1,urbain,True,True,starlink,True,carrelage,neuf,2015
6604,215,88.0,4,1,periurbain,True,True,aucune,True,brut,neuf,2005
8469,255,241.0,2,1,rural,False,False,fibre,True,carrelage,neuf,1992
7143,154,215.0,2,1,rural,True,True,starlink,True,ciment,bon,1996
8250,249,202.0,3,1,periurbain,False,False,aucune,True,ciment,bon,2011
8057,532,209.0,1,2,urbain,False,False,fibre,False,brut,neuf,2006
6689,290,131.0,4,2,urbain,False,False,starlink,False,brut,bon,2020
1768,166,110.0,5,2,rural,False,True,aucune,False,carrelage,neuf,1995
8098,171,139.0,2,1,periurbain,True,True,starlink,False,brut,bon,2001
3703,114,106.0,1,1,rural,True,True,starlink,False,ciment,neuf,2019
7018,224,81.0,5,2,periurbain,False,True,aucune,True,carrelage,neuf,2017
9159,179,183.0,5,1,periurbain,True,False,fibre,True,carrelage,a_renover,1998
1786,341,242.0,5,2,urbain,True,False,aucune,True,brut,a_renover,2006
6312,142,51.0,3,1,urbain,True,False,aucune,True,carrelage,bon,2011
5254,210,175.0,1,2,urbain,True,True,starlink,True,carrelage,a_renover,2010
866,68,58.0,1,2,rural,False,False,aucune,True,brut,neuf,2022
8417,390,206.0,3,2,urbain,False,True,fibre,True,brut,bon,1997
2609,56,88.0,3,1,rural,True,True,starlink,False,brut,a_renover,2009
8627,355,172.0,4,2,urbain,False,True,aucune,True,ciment,bon,1993
5667,86,65.0,2,1,rural,True,True,aucune,False,ciment,neuf,2006
7502,292,84.0,3,2,urbain,True,True,starlink,False,carrelage,neuf,2013
5775,95,81.0,4,1,periurbain,True,False,starlink,False,carrelage,a_renover,1999
5942,126,54.0,2,2,urbain,False,False,starlink,True,ciment,bon,1991
9120,44,56.0,1,2,rural,False,True,aucune,True,brut,bon,2022
4428,152,134.0,1,1,periurbain,False,True,starlink,True,carrelage,bon,2010
7189,120,138.0,4,1,rural,False,True,aucune,True,carrelage,bon,2021
9189,257,235.0,1,2,periurbain,False,True,aucune,True,ciment,bon,1995
3646,332,170.0,3,2,urbain,True,True,starlink,True,ciment,bon,2017
4392,165,147.0,2,1,rural,False,True,aucune,False,carrelage,neuf,2001
3509,190,148.0,4,1,rural,False,True,fibre,True,brut,neuf,2020
694,265,205.0,4,2,periurbain,True,False,fibre,False,ciment,bon,2014
7163,152,196.0,1,1,periurbain,False,True,aucune,False,carrelage,a_renover,2001
795,726,240.0,5,2,urbain,False,False,fibre,True,carrelage,neuf,1996
1084,62,89.0,4,1,rural,False,True,fibre,True,brut,a_renover,2005
6929,167,192.0,3,2,periurbain,True,True,starlink,False,carrelage,a_renover,2009
6973,150,107.0,3,2,periurbain,False,False,aucune,False,carrelage,bon,2007
3418,176,50.0,5,1,periurbain,True,True,fibre,False,brut,neuf,2006
8097,298,248.0,5,2,rural,False,False,fibre,False,ciment,neuf,2004
3288,147,106.0,2,2,urbain,False,True,starlink,False,brut,a_renover,2007
901,112,199.0,4,1,rural,False,True,starlink,True,carrelage,a_renover,2015
3048,199,87.0,3,1,urbain,True,True,fibre,True,brut,bon,2018
7198,159,198.0,4,2,rural,False,True,starlink,False,brut,bon,1999
5081,568,174.0,5,1,urbain,False,False,fibre,False,ciment,neuf,2010
7623,357,179.0,4,1,periurbain,True,False,aucune,True,brut,neuf,1995
5064,200,91.0,3,1,periurbain,True,False,fibre,False,carrelage,neuf,1996
3058,114,128.0,4,1,rural,False,True,fibre,False,carrelage,bon,1996
6223,276,209.0,3,1,urbain,False,False,aucune,False,brut,a_renover,2008
399,228,169.0,4,2,periurbain,True,True,aucune,True,carrelage,bon,2020
9679,90,175.0,2,1,rural,False,False,aucune,True,ciment,a_renover,2002
6522,132,77.0,4,1,periurbain,True,True,fibre,True,carrelage,bon,2004
4220,679,233.0,4,1,urbain,False,False,starlink,True,ciment,neuf,1997
608,83,136.0,4,1,rural,False,False,fibre,False,brut,a_renover,1997
5514,222,163.0,4,2,periurbain,True,False,aucune,False,ciment,bon,2000
3404,638,241.0,2,2,urbain,True,True,fibre,True,carrelage,neuf,2004
4989,86,64.0,1,2,urbain,False,False,aucune,True,brut,a_renover,2009
6127,101,72.0,2,1,periurbain,True,True,starlink,False,carrelage,bon,2011
5414,45,50.0,4,2,rural,True,False,starlink,False,carrelage,a_renover,2018
4147,315,152.0,4,2,periurbain,True,True,starlink,True,ciment,neuf,1996
6865,83,74.0,1,1,rural,True,False,aucune,True,ciment,neuf,2005
9802,166,123.0,4,2,rural,False,True,starlink,False,brut,neuf,2001
1434,128,64.0,4,2,urbain,True,False,fibre,False,brut,a_renover,2005
2615,147,190.0,1,2,periurbain,True,True,aucune,True,brut,a_renover,2007
3126,82,91.0,3,2,rural,True,True,fibre,False,brut,bon,2023
173,648,245.0,2,2,urbain,True,True,starlink,True,brut,neuf,1991
592,152,146.0,5,2,periurbain,True,False,starlink,False,ciment,a_renover,2013
7888,81,77.0,4,2,rural,False,False,aucune,False,ciment,bon,1997
3650,110,58.0,1,1,periurbain,False,True,aucune,True,carrelage,neuf,2014
7633,441,220.0,5,2,periurbain,False,True,fibre,True,ciment,neuf,2020
3047,95,187.0,2,1,rural,True,True,aucune,False,ciment,a_renover,2000
1494,310,214.0,5,1,urbain,False,False,fibre,True,carrelage,a_renover,2009
5425,206,82.0,4,2,periurbain,False,True,aucune,False,carrelage,neuf,2004
7580,66,66.0,2,1,periurbain,True,False,aucune,False,brut,a_renover,2023
5532,309,168.0,2,2,urbain,False,True,starlink,True,ciment,bon,1999
2407,134,172.0,1,2,periurbain,False,True,starlink,True,carrelage,a_renover,1995
1213,185,103.0,5,2,urbain,True,True,starlink,True,carrelage,a_renover,2022
4560,166,216.0,1,2,periurbain,False,True,aucune,True,brut,a_renover,1991
4768,159,156.0,5,1,periurbain,False,True,fibre,True,ciment,a_renover,1999
1981,162,197.0,2,2,periurbain,False,False,starlink,True,ciment,a_renover,2008
2145,361,138.0,1,1,urbain,True,False,starlink,False,ciment,neuf,2023
3146,237,222.0,2,1,rural,True,True,fibre,True,brut,neuf,2014
900,410,200.0,5,1,periurbain,True,True,fibre,True,brut,neuf,1990
6532,410,206.0,4,1,urbain,True,True,fibre,True,brut,bon,2002
8602,135,91.0,4,1,rural,True,True,fibre,True,carrelage,neuf,2014
9541,291,247.0,1,1,urbain,False,True,starlink,False,ciment,a_renover,2001
5992,374,227.0,1,1,periurbain,False,True,fibre,False,brut,neuf,1992
4695,179,233.0,1,2,periurbain,False,True,starlink,True,carrelage,a_renover,2016
9656,49,52.0,2,1,rural,True,False,aucune,False,brut,bon,2003
7689,198,99.0,2,2,urbain,True,False,aucune,True,brut,bon,2001
2337,143,86.0,5,2,rural,True,True,fibre,False,carrelage,neuf,2009
1595,127,149.0,4,1,rural,True,False,aucune,True,carrelage,bon,2017
931,100,50.0,1,1,urbain,False,False,starlink,True,brut,bon,2016
9293,79,126.0,4,1,rural,False,True,starlink,True,brut,a_renover,1998
6994,100,50.0,1,1,urbain,False,False,aucune,False,brut,bon,2020
2625,402,220.0,3,2,periurbain,False,True,aucune,True,carrelage,neuf,2011
47,58,67.0,1,1,periurbain,False,True,starlink,False,carrelage,a_renover,2016
7250,119,204.0,5,2,rural,True,False,starlink,False,carrelage,a_renover,2007
6673,204,146.0,4,2,periurbain,False,False,aucune,False,ciment,bon,1995
3244,326,86.0,4,1,urbain,False,True,fibre,True,brut,neuf,2003
1594,99,76.0,1,1,urbain,True,False,aucune,True,brut,a_renover,2015
7273,378,145.0,1,1,urbain,True,True,aucune,False,brut,neuf,2015
562,315,231.0,4,1,urbain,True,False,fibre,True,brut,a_renover,2018
2344,86,58.0,2,1,periurbain,False,True,fibre,False,brut,bon,2021
1530,166,166.0,5,1,periurbain,False,False,aucune,False,carrelage,a_renover,2004
4521,472,134.0,5,1,urbain,True,True,fibre,True,ciment,neuf,2010
2626,147,128.0,2,1,rural,False,True,fibre,True,carrelage,neuf,1999
1566,370,200.0,3,2,periurbain,False,False,starlink,False,ciment,neuf,1999
533,130,240.0,4,2,rural,True,False,aucune,False,brut,a_renover,2014
5265,41,52.0,1,2,rural,False,False,aucune,True,brut,bon,2003
2075,74,128.0,3,2,rural,False,True,starlink,False,ciment,a_renover,1998
2138,469,243.0,4,2,urbain,False,False,starlink,False,brut,bon,2018
761,153,197.0,1,2,periurbain,True,True,starlink,False,ciment,a_renover,1995
6597,225,103.0,3,1,urbain,True,False,starlink,False,carrelage,bon,1992
7964,226,210.0,2,1,rural,True,True,aucune,False,brut,neuf,1992
6802,106,199.0,3,1,rural,False,False,fibre,False,brut,a_renover,2008
4960,93,84.0,1,2,rural,False,False,aucune,True,ciment,neuf,2023
3133,113,164.0,1,2,rural,False,False,fibre,False,brut,bon,2020
8608,78,150.0,2,2,rural,False,False,fibre,False,carrelage,a_renover,2019
740,123,52.0,2,2,urbain,True,False,fibre,False,ciment,bon,2020
9342,148,120.0,1,1,urbain,False,False,aucune,False,brut,a_renover,1999
291,131,142.0,5,1,rural,True,False,starlink,True,brut,bon,2016
9426,163,145.0,2,2,rural,False,True,aucune,True,brut,neuf,1999
5012,416,235.0,2,2,urbain,False,True,starlink,True,brut,bon,2017
8076,584,231.0,1,2,urbain,True,False,aucune,True,ciment,neuf,2008
330,235,185.0,2,1,urbain,False,True,aucune,False,ciment,a_renover,2017
8528,177,101.0,1,2,periurbain,False,False,starlink,True,carrelage,neuf,2000
4921,219,191.0,3,2,rural,False,True,aucune,True,brut,neuf,2005
4047,273,206.0,3,1,urbain,True,False,aucune,False,brut,a_renover,1990
6138,337,173.0,3,2,urbain,False,True,fibre,True,carrelage,bon,1994
487,430,244.0,2,1,urbain,False,False,starlink,False,ciment,bon,1993
1944,238,90.0,5,2,periurbain,False,True,starlink,False,ciment,neuf,2011
3827,254,207.0,3,2,periurbain,False,False,aucune,True,ciment,bon,2002
8974,143,134.0,5,2,periurbain,True,True,aucune,True,carrelage,a_renover,2012
5928,156,181.0,5,2,rural,False,True,fibre,False,brut,bon,2020
668,50,73.0,3,2,rural,False,False,fibre,False,ciment,a_renover,2021
2055,163,120.0,4,2,rural,False,False,starlink,False,carrelage,neuf,1996
8953,587,232.0,1,1,urbain,True,True,starlink,True,brut,neuf,1995
5635,228,191.0,1,2,urbain,False,False,starlink,False,carrelage,a_renover,1991
8314,61,99.0,3,1,rural,False,True,fibre,False,ciment,a_renover,2015
1775,110,183.0,5,1,rural,True,True,starlink,True,brut,a_renover,2017
3393,108,66.0,3,2,periurbain,True,True,aucune,False,ciment,bon,1994
2974,108,55.0,1,1,urbain,True,True,aucune,True,ciment,bon,1994
850,179,161.0,2,2,rural,True,False,fibre,True,brut,neuf,2013
4536,467,157.0,3,1,urbain,True,True,fibre,True,carrelage,neuf,2005
7745,336,153.0,5,2,periurbain,True,True,fibre,False,ciment,neuf,2004
5152,97,167.0,4,2,rural,False,True,aucune,False,brut,a_renover,2007
4679,246,182.0,3,2,urbain,True,True,starlink,True,brut,a_renover,2021
7297,102,177.0,4,1,rural,False,False,fibre,True,brut,a_renover,2008
8872,82,54.0,2,2,periurbain,False,True,starlink,False,carrelage,bon,2005
5566,225,166.0,4,2,periurbain,True,True,fibre,False,carrelage,bon,1994
5582,195,191.0,1,1,rural,False,True,starlink,True,carrelage,neuf,1992
5206,222,80.0,5,2,periurbain,True,True,fibre,True,brut,neuf,2010
1634,82,120.0,5,1,rural,True,True,starlink,True,carrelage,a_renover,2021
9063,172,103.0,5,1,periurbain,False,False,fibre,True,carrelage,bon,2023
4477,183,138.0,2,1,urbain,False,True,aucune,False,ciment,a_renover,2006
1201,106,153.0,1,2,rural,True,False,aucune,False,carrelage,bon,1999
9968,269,228.0,1,1,urbain,False,True,fibre,False,carrelage,a_renover,2017
1844,84,66.0,4,1,periurbain,False,True,aucune,False,brut,a_renover,2019
5763,95,86.0,5,1,rural,False,False,starlink,False,brut,bon,2003
5257,273,200.0,5,2,periurbain,True,False,fibre,False,carrelage,bon,2003
3016,217,123.0,1,1,urbain,False,True,starlink,False,ciment,bon,2019
7760,157,53.0,1,1,urbain,False,True,fibre,False,brut,neuf,2022
952,54,70.0,4,1,rural,True,True,fibre,True,carrelage,a_renover,1998
5785,380,225.0,1,1,urbain,True,False,starlink,True,carrelage,bon,1999
9259,168,163.0,1,1,rural,False,False,fibre,False,brut,neuf,2009
4065,291,241.0,5,1,rural,True,False,fibre,False,ciment,neuf,2022
9379,157,166.0,4,1,periurbain,False,False,fibre,True,ciment,a_renover,1995
367,56,75.0,4,1,rural,False,True,fibre,False,ciment,a_renover,2010
9975,176,132.0,3,1,periurbain,False,True,starlink,True,carrelage,bon,2004
5129,443,227.0,4,1,urbain,False,True,starlink,False,brut,bon,2023
3508,255,220.0,2,1,periurbain,False,False,fibre,False,brut,bon,2013
4948,203,102.0,2,1,urbain,True,True,fibre,True,carrelage,bon,2001
1691,358,174.0,4,1,urbain,False,False,fibre,True,carrelage,bon,1990
7712,274,248.0,3,2,rural,False,False,aucune,True,brut,neuf,2021
8531,135,148.0,5,1,rural,True,False,starlink,False,carrelage,bon,2005
9710,218,237.0,5,1,periurbain,False,True,fibre,False,brut,a_renover,1998
3132,168,181.0,4,2,periurbain,True,True,fibre,True,carrelage,a_renover,1996
4064,80,128.0,4,1,rural,True,False,aucune,False,carrelage,a_renover,2018
6250,55,73.0,4,2,rural,True,True,starlink,True,ciment,a_renover,2004
564,88,84.0,3,2,periurbain,False,True,aucune,False,carrelage,a_renover,2014
7646,64,92.0,4,2,rural,True,False,aucune,False,ciment,a_renover,2005
7454,337,128.0,1,2,urbain,True,True,starlink,False,carrelage,neuf,2003
3400,126,75.0,3,2,urbain,False,True,fibre,True,ciment,a_renover,1991
8251,195,231.0,3,2,periurbain,False,False,fibre,True,brut,a_renover,2013
1285,432,220.0,4,2,urbain,False,False,aucune,False,brut,bon,2023
4640,43,83.0,1,1,rural,True,False,starlink,True,brut,a_renover,2020
927,249,247.0,1,2,rural,False,False,fibre,False,ciment,neuf,1993
4554,135,103.0,3,1,rural,True,True,starlink,False,carrelage,neuf,1991
595,266,86.0,2,2,urbain,True,True,fibre,True,carrelage,neuf,2018
8182,218,182.0,1,2,urbain,False,False,starlink,False,carrelage,a_renover,1998
3886,49,59.0,4,1,rural,True,True,starlink,True,brut,a_renover,1999
2996,600,200.0,4,1,urbain,False,True,fibre,True,ciment,neuf,2006
8323,177,134.0,4,1,rural,False,True,starlink,True,ciment,neuf,2020
3445,142,145.0,4,2,periurbain,False,False,aucune,True,brut,a_renover,2005
9469,48,53.0,1,1,periurbain,True,False,fibre,False,carrelage,a_renover,1990
5803,115,142.0,3,1,rural,False,True,starlink,False,ciment,bon,2002
6311,113,228.0,2,1,rural,True,True,aucune,False,brut,a_renover,2018
8457,137,107.0,2,1,periurbain,False,True,aucune,True,ciment,bon,2006
9632,71,72.0,2,2,periurbain,True,True,starlink,False,ciment,a_renover,1995
1113,100,132.0,2,1,rural,False,True,aucune,True,carrelage,bon,2011
3,49,85.0,2,2,rural,False,True,starlink,True,ciment,a_renover,2011
1564,215,88.0,4,2,periurbain,True,False,starlink,False,carrelage,neuf,2003
9495,111,197.0,4,1,rural,False,False,fibre,True,brut,a_renover,2014
4407,182,101.0,1,1,urbain,True,True,aucune,False,ciment,bon,2007
2140,139,107.0,3,2,rural,False,True,aucune,False,brut,neuf,2020
7085,402,233.0,2,1,periurbain,True,True,fibre,False,brut,neuf,2022
3061,151,95.0,4,1,periurbain,True,False,starlink,False,carrelage,bon,2014
1180,221,104.0,3,2,periurbain,False,False,starlink,True,carrelage,neuf,2002
3251,182,150.0,1,2,urbain,True,True,aucune,True,ciment,a_renover,1996
7796,86,106.0,1,2,periurbain,False,False,aucune,True,carrelage,a_renover,2003
8040,134,104.0,2,2,periurbain,True,True,fibre,False,carrelage,bon,2007
2531,327,192.0,1,2,urbain,False,False,aucune,True,brut,bon,1991
88,111,140.0,1,2,periurbain,True,True,fibre,False,brut,a_renover,1997
3855,261,113.0,4,2,urbain,False,False,fibre,False,brut,bon,2018
7104,614,206.0,4,2,urbain,True,True,aucune,True,carrelage,neuf,2013
2069,273,200.0,5,2,periurbain,True,False,starlink,True,ciment,bon,2005
2618,514,164.0,4,2,urbain,False,False,aucune,True,brut,neuf,2000
9804,193,68.0,1,2,urbain,False,True,starlink,True,carrelage,neuf,2008
1792,162,216.0,3,2,rural,False,False,starlink,False,brut,bon,2018
4058,196,138.0,4,2,periurbain,False,False,fibre,False,ciment,bon,1999
4519,240,202.0,1,2,urbain,False,True,starlink,True,brut,a_renover,2013
1803,251,92.0,1,1,urbain,True,True,aucune,True,ciment,neuf,2019
6021,319,192.0,1,2,periurbain,True,True,aucune,False,ciment,neuf,2019
8761,208,121.0,1,1,periurbain,True,True,fibre,False,carrelage,neuf,1996
4722,166,91.0,1,2,urbain,False,True,aucune,True,brut,bon,2005
